FormattedDate,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,pressure,summary,temperature,time,visibility,windBearing,windSpeed
2014-12-31 23:00:00,-0.56,0.25,1.22,0.82,partly-cloudy-night,,,1034.68,Partly Cloudy,3.97,1420066800,12.44,202,6.34
2015-01-01 00:00:00,-0.79,0.26,0.93,0.83,partly-cloudy-night,0,0,1034.38,Partly Cloudy,3.61,1420070400,11.6,205,5.83
2015-01-01 01:00:00,-0.71,0.25,1.29,0.83,partly-cloudy-night,,,1033.97,Partly Cloudy,3.97,1420074000,12.01,207,6.75
2015-01-01 02:00:00,-0.95,0.25,1.18,0.81,partly-cloudy-night,,,1033.78,Partly Cloudy,4.15,1420077600,11.09,211,8.06
2015-01-01 03:00:00,-1.07,0.4,0.98,0.81,partly-cloudy-night,0,0,1033.02,Partly Cloudy,3.92,1420081200,12.26,208,7.53
2015-01-01 04:00:00,-0.53,0.25,1.61,0.84,partly-cloudy-night,,,1034.61,Partly Cloudy,4.01,1420084800,10.98,236,6.42
2015-01-01 05:00:00,-0.47,0.44,1.89,0.84,partly-cloudy-night,,,1033.68,Partly Cloudy,4.41,1420088400,11.17,214,7.59
2015-01-01 06:00:00,-0.52,0.61,1.91,0.83,partly-cloudy-night,0,0,1033.13,Mostly Cloudy,4.5,1420092000,10.62,208,8.13
2015-01-01 07:00:00,-0.36,0.75,2.56,0.86,partly-cloudy-night,,,1032.38,Mostly Cloudy,4.69,1420095600,10.41,197,8.4
2015-01-01 08:00:00,0.13,0.75,2.23,0.82,partly-cloudy-night,,,1032.78,Mostly Cloudy,4.98,1420099200,10.28,205,8.02
2015-01-01 09:00:00,-0.31,0.74,1.82,0.82,partly-cloudy-day,0,0,1033.2,Mostly Cloudy,4.62,1420102800,11.38,208,7.98
2015-01-01 10:00:00,0.11,0.44,2.51,0.83,partly-cloudy-day,,,1032.62,Partly Cloudy,5.12,1420106400,9.88,208,8.73
2015-01-01 11:00:00,0.59,0.61,2.67,0.82,partly-cloudy-day,,,1032.05,Mostly Cloudy,5.47,1420110000,10.41,198,8.61
2015-01-01 12:00:00,0.78,0.63,2.36,0.79,partly-cloudy-day,0,0,1031.74,Mostly Cloudy,5.66,1420113600,9.82,203,8.8
2015-01-01 13:00:00,1.06,0.61,3.13,0.83,partly-cloudy-day,,,1030.57,Mostly Cloudy,5.84,1420117200,9.88,200,8.69
2015-01-01 14:00:00,1.44,0.61,3.37,0.81,partly-cloudy-day,,,1030.03,Mostly Cloudy,6.31,1420120800,9.88,208,9.55
2015-01-01 15:00:00,1.31,0.73,3.11,0.81,partly-cloudy-day,0,0,1029.5,Mostly Cloudy,6.15,1420124400,11.57,205,9.24
2015-01-01 16:00:00,0.69,0.61,3.12,0.82,partly-cloudy-night,,,1028.5,Mostly Cloudy,5.94,1420128000,9.25,200,10.55
2015-01-01 17:00:00,0.63,0.61,3.22,0.84,partly-cloudy-night,,,1027.95,Mostly Cloudy,5.71,1420131600,9.88,201,9.58
2015-01-01 18:00:00,0.37,0.71,2.54,0.81,partly-cloudy-night,0,0,1027.52,Mostly Cloudy,5.6,1420135200,11.04,199,10.06
2015-01-01 19:00:00,0.12,0.61,3.2,0.84,wind,,,1026.45,Windy and Mostly Cloudy,5.78,1420138800,8.35,204,12.11
2015-01-01 20:00:00,0.81,0.61,3.72,0.85,wind,,,1025.37,Breezy and Mostly Cloudy,6.13,1420142400,8.45,208,11.14
2015-01-01 21:00:00,0.97,0.72,3.6,0.83,wind,0,0,1025.46,Windy and Mostly Cloudy,6.27,1420146000,8.75,206,11.22
2015-01-01 22:00:00,0.67,0.61,3.78,0.85,wind,,,1025.15,Windy and Mostly Cloudy,6.06,1420149600,8.58,202,11.3
2015-01-01 23:00:00,1.29,0.75,4.34,0.86,wind,,,1024.49,Breezy and Mostly Cloudy,6.46,1420153200,8.71,202,10.95
2015-01-02 00:00:00,2.52,0.92,5.67,0.88,wind,0,0,1022.88,Windy and Mostly Cloudy,7.55,1420156800,7.4,214,12.04
2015-01-02 01:00:00,2.97,0.87,6.44,0.91,wind,,,1021.7,Windy and Mostly Cloudy,7.85,1420160400,7.31,215,11.82
2015-01-02 02:00:00,3.13,0.87,6.88,0.93,wind,,,1022.32,Windy and Mostly Cloudy,7.99,1420164000,9.48,213,11.92
2015-01-02 03:00:00,4.92,0.89,8.11,0.92,wind,0,0,1021.32,Windy and Mostly Cloudy,9.33,1420167600,8.63,225,12.05
2015-01-02 04:00:00,5.53,1,8.74,0.93,wind,,,1021.17,Windy and Overcast,9.8,1420171200,7.81,228,12.11
2015-01-02 05:00:00,10.66,1,9.62,0.93,wind,,,1021.56,Breezy and Overcast,10.66,1420174800,6.31,229,11.11
2015-01-02 06:00:00,10.83,1,10.08,0.95,cloudy,0,0,1022.86,Overcast,10.83,1420178400,8.93,244,10.12
2015-01-02 07:00:00,10.53,0.87,8.89,0.9,partly-cloudy-night,,,1024,Mostly Cloudy,10.53,1420182000,11.76,259,10.08
2015-01-02 08:00:00,10.13,0.75,6.33,0.77,partly-cloudy-night,,,1025.46,Mostly Cloudy,10.13,1420185600,13.13,283,8.14
2015-01-02 09:00:00,6.12,0.74,4.04,0.67,partly-cloudy-day,0,0,1027.22,Mostly Cloudy,9.78,1420189200,14.07,288,9.1
2015-01-02 10:00:00,5.21,0.61,2.6,0.64,partly-cloudy-day,,,1028.73,Mostly Cloudy,8.96,1420192800,12.17,292,8.41
2015-01-02 11:00:00,5.27,0.61,1.95,0.61,partly-cloudy-day,,,1029.48,Mostly Cloudy,8.99,1420196400,13.31,290,8.34
2015-01-02 12:00:00,5.43,0.26,1.71,0.6,partly-cloudy-day,0,0,1030.08,Partly Cloudy,9.16,1420200000,14.29,292,8.57
2015-01-02 13:00:00,5.14,0.25,0.8,0.57,partly-cloudy-day,,,1029.94,Partly Cloudy,8.84,1420203600,13.31,285,8.07
2015-01-02 14:00:00,4.62,0.25,0.92,0.58,partly-cloudy-day,,,1031.02,Partly Cloudy,8.64,1420207200,12.81,279,9.13
2015-01-02 15:00:00,4.5,0.28,0.77,0.59,partly-cloudy-day,0,0,1032.26,Partly Cloudy,8.35,1420210800,14.24,281,8.1
2015-01-02 16:00:00,3.91,0.25,0.62,0.61,partly-cloudy-night,,,1033.07,Partly Cloudy,7.73,1420214400,13.31,282,7.37
2015-01-02 17:00:00,3.58,0.25,0.62,0.62,partly-cloudy-night,,,1033.9,Partly Cloudy,7.32,1420218000,13.31,280,6.75
2015-01-02 18:00:00,3.56,0.36,0.87,0.64,partly-cloudy-night,0,0,1034.24,Partly Cloudy,7.28,1420221600,14.26,278,6.66
2015-01-02 19:00:00,2.82,0.25,0.83,0.66,partly-cloudy-night,,,1034.28,Partly Cloudy,6.75,1420225200,13.31,267,6.84
2015-01-02 20:00:00,2.11,0.25,1.19,0.71,partly-cloudy-night,,,1034.33,Partly Cloudy,6.06,1420228800,12.28,267,6.33
2015-01-02 21:00:00,2.49,0.35,1.77,0.73,partly-cloudy-night,0,0,1034.47,Partly Cloudy,6.19,1420232400,12.02,259,5.78
2015-01-02 22:00:00,1.44,0.43,1.7,0.77,partly-cloudy-night,,,1033.77,Partly Cloudy,5.44,1420236000,10.72,254,6.06
2015-01-02 23:00:00,0.8,0.43,1.26,0.8,partly-cloudy-night,,,1033.82,Partly Cloudy,4.41,1420239600,10.75,252,4.6
2015-01-03 00:00:00,1.8,0.66,1.48,0.77,partly-cloudy-night,0,0,1033.36,Mostly Cloudy,5.21,1420243200,13.16,254,4.58
2015-01-03 01:00:00,1.44,0.61,1.13,0.77,partly-cloudy-night,,,1032.55,Mostly Cloudy,4.89,1420246800,13.31,246,4.51
2015-01-03 02:00:00,1.6,0.71,1.22,0.76,partly-cloudy-night,,,1031.94,Mostly Cloudy,5.01,1420250400,13.31,228,4.48
