FormattedDate,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,pressure,summary,temperature,time,visibility,windBearing,windSpeed
2016-12-31 23:00:00,-7.69,,-1.11,1,fog,,,,Foggy,-1.11,1483225200,0.64,191,7.81
2017-01-01 00:00:00,-7.54,,-1.11,1,fog,,,,Foggy,-1.11,1483228800,0.64,193,7.46
2017-01-01 01:00:00,-7.39,,-1.11,1,fog,,,,Foggy,-1.11,1483232400,0.64,197,7.1
2017-01-01 02:00:00,-7.23,,-1.11,1,fog,,,,Foggy,-1.11,1483236000,0.64,200,6.76
2017-01-01 03:00:00,-7.08,,-1.11,1,fog,,,,Foggy,-1.11,1483239600,0.64,204,6.43
2017-01-01 04:00:00,-6.93,,-1.11,1,fog,,,,Foggy,-1.11,1483243200,0.64,209,6.13
2017-01-01 05:00:00,-6.79,,-1.11,1,fog,,,,Foggy,-1.11,1483246800,0.64,213,5.86
2017-01-01 06:00:00,-6.64,,-1.11,1,fog,,,,Foggy,-1.11,1483250400,0.64,218,5.59
2017-01-01 07:00:00,-6.49,,-1.11,1,fog,,,,Foggy,-1.11,1483254000,0.64,221,5.32
2017-01-01 08:00:00,,,,,clear-night,,,,Clear,,1483257600,,224,5.02
2017-01-01 09:00:00,3.78,1,2.57,0.92,cloudy,0.0889,0.23,1019.58,Overcast,3.78,1483261200,7.39,13,1.07
2017-01-01 10:00:00,0.94,1,2.77,0.9,cloudy,0.1727,0.23,1020.19,Overcast,4.27,1483264800,6.76,22,4.02
2017-01-01 11:00:00,1.14,1,2.76,0.9,cloudy,0.0305,0.12,1020.82,Overcast,4.21,1483268400,8.27,23,3.57
2017-01-01 12:00:00,1.28,1,2.79,0.9,cloudy,0.1067,0.42,1021.32,Overcast,4.25,1483272000,9.51,18,3.46
2017-01-01 13:00:00,1.12,1,2.8,0.91,cloudy,0.1067,0.3,1021.86,Overcast,4.19,1483275600,8.14,25,3.59
2017-01-01 14:00:00,1.29,0.94,3,0.9,cloudy,0.0889,0.12,1022.46,Overcast,4.54,1483279200,9.27,17,4.01
2017-01-01 15:00:00,1.37,0.84,2.99,0.88,partly-cloudy-day,0.127,0.39,1022.85,Mostly Cloudy,4.81,1483282800,9.06,17,4.46
2017-01-01 16:00:00,1.93,0.81,3.1,0.89,partly-cloudy-night,0.1168,0.46,1023.35,Mostly Cloudy,4.71,1483286400,9.98,21,3.32
2017-01-01 17:00:00,1.21,0.74,2.61,0.85,partly-cloudy-night,0,0,1023.73,Mostly Cloudy,4.98,1483290000,11.88,21,5.23
2017-01-01 18:00:00,0.76,0.6,2.07,0.84,partly-cloudy-night,0.0279,0.11,1024.21,Mostly Cloudy,4.47,1483293600,13.21,18,4.81
2017-01-01 19:00:00,0.99,0.64,1.78,0.79,partly-cloudy-night,0,0,1025.08,Mostly Cloudy,5.08,1483297200,12.84,15,6.03
2017-01-01 20:00:00,1.49,0.36,1.34,0.75,partly-cloudy-night,0,0,1026.09,Partly Cloudy,5.43,1483300800,14.05,10,5.87
2017-01-01 21:00:00,2.65,0.36,1.76,0.73,partly-cloudy-night,0,0,1026.47,Partly Cloudy,6.17,1483304400,12.1,12,5.35
2017-01-01 22:00:00,2.82,0.26,2.09,0.74,partly-cloudy-night,0,0,1026.93,Partly Cloudy,6.41,1483308000,12.34,2,5.63
2017-01-01 23:00:00,0.94,1,2.77,0.9,cloudy,0.1727,0.23,1020.19,Overcast,4.27,1483311600,6.76,22,4.02
2017-01-02 00:00:00,1.14,1,2.76,0.9,cloudy,0.0305,0.12,1020.82,Overcast,4.21,1483315200,8.27,23,3.57
2017-01-02 01:00:00,1.28,1,2.79,0.9,cloudy,0.1067,0.42,1021.32,Overcast,4.25,1483318800,9.51,18,3.46
2017-01-02 02:00:00,1.12,1,2.8,0.91,cloudy,0.1067,0.3,1021.86,Overcast,4.19,1483322400,8.14,25,3.59
2017-01-02 03:00:00,1.29,0.94,3,0.9,cloudy,0.0889,0.12,1022.46,Overcast,4.54,1483326000,9.27,17,4.01
2017-01-02 04:00:00,1.37,0.84,2.99,0.88,partly-cloudy-night,0.127,0.39,1022.85,Mostly Cloudy,4.81,1483329600,9.06,17,4.46
2017-01-02 05:00:00,1.93,0.81,3.1,0.89,partly-cloudy-night,0.1168,0.46,1023.35,Mostly Cloudy,4.71,1483333200,9.98,21,3.32
2017-01-02 06:00:00,1.21,0.74,2.61,0.85,partly-cloudy-night,0,0,1023.73,Mostly Cloudy,4.98,1483336800,11.88,21,5.23
2017-01-02 07:00:00,0.76,0.6,2.07,0.84,partly-cloudy-night,0.0279,0.11,1024.21,Mostly Cloudy,4.47,1483340400,13.21,18,4.81
2017-01-02 08:00:00,0.99,0.64,1.78,0.79,partly-cloudy-night,0,0,1025.08,Mostly Cloudy,5.08,1483344000,12.84,15,6.03
2017-01-02 09:00:00,1.49,0.36,1.34,0.75,partly-cloudy-day,0,0,1026.09,Partly Cloudy,5.43,1483347600,14.05,10,5.87
2017-01-02 10:00:00,2.65,0.36,1.76,0.73,partly-cloudy-day,0,0,1026.47,Partly Cloudy,6.17,1483351200,12.1,12,5.35
2017-01-02 11:00:00,2.82,0.26,2.09,0.74,partly-cloudy-day,0,0,1026.93,Partly Cloudy,6.41,1483354800,12.34,2,5.63
2017-01-02 12:00:00,2.37,0.35,1.96,0.74,partly-cloudy-day,0,0,1027.07,Partly Cloudy,6.32,1483358400,14.18,347,6.52
2017-01-02 13:00:00,2.2,0.41,2.03,0.75,partly-cloudy-day,0.0483,0.19,1027.12,Partly Cloudy,6.16,1483362000,13.6,356,6.44
2017-01-02 14:00:00,2.11,0.36,2.49,0.79,partly-cloudy-day,0.094,0.19,1027.12,Partly Cloudy,5.89,1483365600,11.83,354,5.79
2017-01-02 15:00:00,1.83,0.31,2.17,0.79,partly-cloudy-day,0,0,1027.21,Partly Cloudy,5.51,1483369200,14.13,339,5.32
2017-01-02 16:00:00,1.21,0.21,1.96,0.8,clear-night,0,0,1027.54,Clear,5.1,1483372800,12.34,339,5.55
2017-01-02 17:00:00,0.8,0.41,1.79,0.8,partly-cloudy-night,0.0711,0.28,1028.09,Partly Cloudy,5.01,1483376400,12.34,329,6.27
2017-01-02 18:00:00,0.42,0.33,1.67,0.8,partly-cloudy-night,0,0,1028.41,Partly Cloudy,4.78,1483380000,13.57,327,6.5
2017-01-02 19:00:00,0.16,0.8,1.87,0.84,partly-cloudy-night,0,0,1028.69,Mostly Cloudy,4.39,1483383600,13.49,329,5.91
2017-01-02 20:00:00,-0.15,0.69,1.44,0.83,partly-cloudy-night,0,0,1028.83,Mostly Cloudy,4.11,1483387200,13.49,320,5.81
2017-01-02 21:00:00,-0.77,0.54,0.84,0.81,partly-cloudy-night,0.1473,0.12,1029,Partly Cloudy,3.8,1483390800,13.49,316,6.33
2017-01-02 22:00:00,-0.98,0.39,0.54,0.81,partly-cloudy-night,0.0305,0.12,1029.03,Partly Cloudy,3.42,1483394400,13.29,309,5.69
2017-01-02 23:00:00,-1.01,0.39,0.38,0.82,partly-cloudy-night,0,0,1029.16,Partly Cloudy,3.24,1483398000,13.65,305,5.3
2017-01-03 00:00:00,-1.07,0.33,0.22,0.82,partly-cloudy-night,0,0,1029.05,Partly Cloudy,3.01,1483401600,14.07,300,4.86
2017-01-03 01:00:00,-1.07,0.31,0.33,0.83,partly-cloudy-night,0,0,1028.85,Partly Cloudy,2.97,1483405200,14.68,291,4.75
2017-01-03 02:00:00,-1.41,0.31,-0.02,0.82,partly-cloudy-night,0,0,1028.94,Partly Cloudy,2.82,1483408800,13.65,285,5.04
2017-01-03 03:00:00,-1.52,0.45,0.09,0.82,partly-cloudy-night,0,0,1028.93,Partly Cloudy,2.81,1483412400,13.57,287,5.23
2017-01-03 04:00:00,-1.89,0.26,-0.05,0.82,partly-cloudy-night,0,0,1028.68,Partly Cloudy,2.79,1483416000,13.47,276,5.97
2017-01-03 05:00:00,-2.36,0.31,-0.05,0.84,partly-cloudy-night,0,0,1028.41,Partly Cloudy,2.4,1483419600,13.55,275,5.9
2017-01-03 06:00:00,-2.09,0.31,0.08,0.84,partly-cloudy-night,0,0,1028.04,Partly Cloudy,2.44,1483423200,13.12,265,5.47
2017-01-03 07:00:00,-2.76,0.26,-0.26,0.85,partly-cloudy-night,0,0,1028.07,Partly Cloudy,1.92,1483426800,13.2,266,5.45
2017-01-03 08:00:00,-2.76,0.25,0.22,0.89,partly-cloudy-night,0,0,1028.13,Partly Cloudy,1.89,1483430400,12.3,259,5.39
2017-01-03 09:00:00,-1.44,0.44,1.46,0.89,partly-cloudy-day,0,0,1028.3,Partly Cloudy,3.1,1483434000,12.3,260,5.85
2017-01-03 10:00:00,-0.23,0.7,2.28,0.87,partly-cloudy-day,0,0,1028.17,Mostly Cloudy,4.29,1483437600,13.52,256,6.59
